id,nombre,marca,categoria,precio_mxn,stock,descripcion,imagen_url
1,Yamaha Clavinova Pro 260,Yamaha,Pianos,49499.99,11,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Clavinova en color natural, con acabado pro.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Pianos&font=roboto
2,Yamaha DGX Custom 442,Yamaha,Teclados,5309.99,11,"Teclado versátil con amplia biblioteca de sonidos, ideal para práctica, composición y presentaciones en vivo. Modelo DGX en color transparente, con acabado custom.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Teclados&font=roboto
3,Yamaha FS Plus 626,Yamaha,Guitarras Acústicas,3999.99,13,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo FS en color vino, con acabado plus.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Guitarras+Acústicas&font=roboto
4,Yamaha YSL Edition 469,Yamaha,Instrumentos de Viento,37829.99,10,"Instrumento de viento con afinación estable y respuesta cómoda en todos los registros. Modelo YSL en color azul océano, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Instrumentos+de+Viento&font=roboto
5,Yamaha Recording Custom Edition 294,Yamaha,Baterías,15309.99,15,"Batería acústica con cascos de calidad y herrajes resistentes, lista para estudio o escenario. Modelo Recording Custom en color rojo cereza, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Baterías&font=roboto
6,Yamaha Stagepass Custom 109,Yamaha,Audio,9939.99,15,"Equipo de audio profesional pensado para monitoreo y grabación con fidelidad de estudio. Modelo Stagepass en color gris metálico, con acabado custom.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Audio&font=roboto
7,Yamaha TransAcoustic Signature 757,Yamaha,Pianos,89189.99,11,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo TransAcoustic en color negro, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Pianos&font=roboto
8,Yamaha Modx Custom 310,Yamaha,Teclados,38009.99,19,"Teclado versátil con amplia biblioteca de sonidos, ideal para práctica, composición y presentaciones en vivo. Modelo Modx en color vino, con acabado custom.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Teclados&font=roboto
9,Yamaha APX II 56,Yamaha,Guitarras Acústicas,15739.99,14,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo APX en color sunburst, con acabado ii.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Guitarras+Acústicas&font=roboto
10,Yamaha YAS Plus 399,Yamaha,Instrumentos de Viento,21019.99,20,"Instrumento de viento con afinación estable y respuesta cómoda en todos los registros. Modelo YAS en color sunburst, con acabado plus.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Instrumentos+de+Viento&font=roboto
11,Yamaha Rydeen Classic 373,Yamaha,Baterías,17849.99,14,"Batería acústica con cascos de calidad y herrajes resistentes, lista para estudio o escenario. Modelo Rydeen en color rojo cereza, con acabado classic.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Baterías&font=roboto
12,Yamaha Stagepass Classic 756,Yamaha,Audio,7259.99,17,"Equipo de audio profesional pensado para monitoreo y grabación con fidelidad de estudio. Modelo Stagepass en color vino, con acabado classic.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Audio&font=roboto
13,Yamaha C3X Signature 234,Yamaha,Pianos,127019.99,10,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo C3X en color vino, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Pianos&font=roboto
14,Yamaha Genos Standard 420,Yamaha,Teclados,14979.99,13,"Teclado versátil con amplia biblioteca de sonidos, ideal para práctica, composición y presentaciones en vivo. Modelo Genos en color rojo cereza, con acabado standard.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Teclados&font=roboto
15,Yamaha Storia Deluxe 681,Yamaha,Guitarras Acústicas,12739.99,20,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo Storia en color azul océano, con acabado deluxe.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Guitarras+Acústicas&font=roboto
16,Yamaha YFL Elite 152,Yamaha,Instrumentos de Viento,19319.99,18,"Instrumento de viento con afinación estable y respuesta cómoda en todos los registros. Modelo YFL en color natural, con acabado elite.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Instrumentos+de+Viento&font=roboto
17,Yamaha Rydeen Edition 418,Yamaha,Baterías,25019.99,12,"Batería acústica con cascos de calidad y herrajes resistentes, lista para estudio o escenario. Modelo Rydeen en color transparente, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Baterías&font=roboto
18,Yamaha AG Custom 891,Yamaha,Audio,4079.99,20,"Equipo de audio profesional pensado para monitoreo y grabación con fidelidad de estudio. Modelo AG en color negro, con acabado custom.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Yamaha+Audio&font=roboto
19,Fender Telecaster Edition 75,Fender,Guitarras Eléctricas,42089.99,19,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Telecaster en color transparente, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Guitarras+Eléctricas&font=roboto
20,Fender Precision Bass Signature 891,Fender,Bajos Eléctricos,66549.99,20,"Bajo eléctrico con gran proyección de graves y ergonomía pensada para largas sesiones de tocada. Modelo Precision Bass en color vino, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Bajos+Eléctricos&font=roboto
21,Fender Champion Signature 124,Fender,Amplificadores,16039.99,12,"Amplificador con tono cálido y controles intuitivos, ideal tanto para ensayo como para conciertos. Modelo Champion en color rojo cereza, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Amplificadores&font=roboto
22,Fender Newporter Pro 522,Fender,Guitarras Acústicas,24049.99,18,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo Newporter en color natural, con acabado pro.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Guitarras+Acústicas&font=roboto
23,Fender Stratocaster Vintage 633,Fender,Guitarras Eléctricas,26109.99,15,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Stratocaster en color vino, con acabado vintage.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Guitarras+Eléctricas&font=roboto
24,Fender Jazz Bass Pro 341,Fender,Bajos Eléctricos,39319.99,11,"Bajo eléctrico con gran proyección de graves y ergonomía pensada para largas sesiones de tocada. Modelo Jazz Bass en color transparente, con acabado pro.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Bajos+Eléctricos&font=roboto
25,Fender Blues Junior Vintage 69,Fender,Amplificadores,13879.99,19,"Amplificador con tono cálido y controles intuitivos, ideal tanto para ensayo como para conciertos. Modelo Blues Junior en color azul océano, con acabado vintage.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Amplificadores&font=roboto
26,Fender CD-60S Custom 845,Fender,Guitarras Acústicas,6739.99,18,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo CD-60S en color dorado, con acabado custom.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Guitarras+Acústicas&font=roboto
27,Fender Telecaster Elite 979,Fender,Guitarras Eléctricas,56289.99,14,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Telecaster en color dorado, con acabado elite.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Guitarras+Eléctricas&font=roboto
28,Fender American Ultra Bass Edition 961,Fender,Bajos Eléctricos,42359.99,13,"Bajo eléctrico con gran proyección de graves y ergonomía pensada para largas sesiones de tocada. Modelo American Ultra Bass en color azul océano, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Bajos+Eléctricos&font=roboto
